,IMAGE_NUMBER,REAL_NAME,MALE,FEMALE,SELECT,PAPER,PAPER_NUMBER,CORRECT
143,144.0,U0234.bmp,95.0,5.0,Select,No,,Male
145,146.0,U0239.bmp,95.0,5.0,Select,No,,Male
146,147.0,U0240.bmp,95.0,5.0,Select,No,,Male
148,149.0,U0244.bmp,10.0,90.0,Select,Yes,60,Female
149,150.0,U0245.bmp,100.0,0,Select,No,,Male
150,151.0,U0248.bmp,100.0,0,Select,Yes,61,Male
151,152.0,U0249.bmp,95.0,5.0,Select,No,,Male
152,153.0,U0252.bmp,0,100.0,Select,No,,Female
153,154.0,U0254.bmp,95.0,5.0,Select,Yes,62,Male
154,155.0,U0255.bmp,10.0,90.0,Select,No,,Female
155,156.0,U0258.bmp,0,100.0,Select,Yes,63,Female
157,158.0,U0262.bmp,0,100.0,Select,No,,Female
158,159.0,U0264.bmp,0,100.0,Select,No,,Female
160,161.0,U0269.bmp,100.0,0,Select,No,,Male
161,162.0,U0272.bmp,100.0,0,Select,No,,Male
162,163.0,U0273.bmp,100.0,0,Select,No,,Male
163,164.0,U0274.bmp,95.0,5.0,Select,No,,Male
164,165.0,U0276.bmp,0,100.0,Select,No,,Female
165,166.0,U0277.bmp,95.0,5.0,Select,No,,Male
167,168.0,U0283.bmp,0,100.0,Select,No,,Female
168,169.0,U0284.bmp,95.0,5.0,Select,No,,Male
169,170.0,U0286.bmp,100.0,0,Select,No,,Male
170,171.0,U0288.bmp,100.0,0,Select,No,,Male
171,172.0,U0291.bmp,100.0,0,Select,No,,Male
172,173.0,U0292.bmp,0,100.0,Select,No,,Female
173,174.0,U0293.bmp,0,100.0,Select,No,,Female
175,176.0,U0295.bmp,5.0,95.0,Select,No,,Female
177,178.0,U0297.bmp,100.0,0,Select,No,,Male
178,179.0,U0298.bmp,0,100.0,Select,No,,Female
179,180.0,U0301.bmp,5.0,95.0,Select,No,,Female
180,181.0,U0302.bmp,95.0,5.0,Select,No,,Male
181,182.0,U0304.bmp,5.0,95.0,Select,No,,Female
182,183.0,U0305.bmp,5.0,95.0,Select,No,,Female
183,184.0,U0307.bmp,100.0,0,Select,No,,Male
184,185.0,U0309.bmp,5.0,95.0,Select,Yes,67,Female
185,186.0,U0312.bmp,95.0,5.0,Select,Yes,68,Male
186,187.0,U0313.bmp,5.0,95.0,Select,No,,Female
187,188.0,U0314.bmp,5.0,95.0,Select,No,,Female
188,189.0,U0316.bmp,90.0,10.0,Select,No,,Male
189,190.0,U0317.bmp,95.0,5.0,Select,No,,Male
190,191.0,U0319.bmp,95.0,5.0,Select,No,,Male
191,192.0,U0320.bmp,100.0,0,Select,No,,Male
192,193.0,U0321.bmp,5.0,95.0,Select,No,,Female
194,195.0,U0326.bmp,5.0,95.0,Select,No,,Female
195,196.0,U0328.bmp,100.0,0,Select,No,,Male
196,197.0,U0329.bmp,100.0,0,Select,No,,Male
197,198.0,U0330.bmp,100.0,0,Select,No,,Male
198,199.0,U0331.bmp,100.0,0,Select,No,,Male
200,201.0,U0334.bmp,0,100.0,Select,No,,Female
201,202.0,U0335.bmp,5.0,95.0,Select,No,,Female
203,204.0,U0337.bmp,0,100.0,Select,No,,Female
204,205.0,U0340.bmp,100.0,0,Select,No,,Male
205,206.0,U0346.bmp,95.0,5.0,Select,No,,Male
206,207.0,U0348.bmp,95.0,5.0,Select,No,,Male
207,208.0,U0355.bmp,95.0,5.0,Select,No,,Male
208,209.0,U0356.bmp,100.0,0,Select,No,,Male
209,210.0,U0357.bmp,100.0,0,Select,Yes,69,Male
210,211.0,U0359.bmp,90.0,10.0,Select,No,,Male
211,212.0,U0361.bmp,10.0,90.0,Select,No,,Female
212,213.0,U0362.bmp,10.0,90.0,Select,No,,Female
213,214.0,U0363.bmp,10.0,90.0,Select,No,,Female
214,215.0,U0366.bmp,5.0,95.0,Select,No,,Female
215,216.0,U0367.bmp,0,100.0,Select,No,,Female
216,217.0,U0368.bmp,0,100.0,Select,Yes,70,Female
217,218.0,U0369.bmp,5.0,95.0,Select,Yes,71,Female
218,219.0,U0370.bmp,0,100.0,Select,No,,Female
219,220.0,U0373.bmp,5.0,95.0,Select,No,,Female
220,221.0,U0374.bmp,0,100.0,Select,No,,Female
221,222.0,U0375.bmp,0,100.0,Select,No,,Female
222,223.0,U0377.bmp,5.0,95.0,Select,Yes,72,Female
223,224.0,U0381.bmp,5.0,95.0,Select,No,,Female
224,225.0,U0382.bmp,5.0,95.0,Select,No,,Female
225,226.0,U0384.bmp,90.0,10.0,Select,No,,Male
226,227.0,U0385.bmp,90.0,10.0,Select,No,,Male
228,229.0,U0393.bmp,100.0,0,Select,Yes,74,Male
229,230.0,U0395.bmp,95.0,5.0,Select,No,,Male
231,232.0,U0397.bmp,5.0,95.0,Select,Yes,76,Female
232,233.0,U0398.bmp,100.0,0,Select,No,,Male
233,234.0,U0399.bmp,90.0,10.0,Select,No,,Male
234,235.0,U0400.bmp,90.0,10.0,Select,Yes,77,Male
235,236.0,U0401.bmp,95.0,5.0,Select,Yes,78,Male
237,238.0,U0403.bmp,90.0,10.0,Select,No,,Male
239,240.0,U0408.bmp,90.0,10.0,Select,No,,Male
240,241.0,U0411.bmp,100.0,0,Select,Yes,80,Male
242,243.0,U0415.bmp,100.0,0,Select,Yes,82,Male
243,244.0,U0416.bmp,100.0,0,Select,No,,Male
244,245.0,U0417.bmp,95.0,5.0,Select,No,,Male
246,247.0,U0424.bmp,0,100.0,Select,No,,Female
247,248.0,U0427.bmp,10.0,90.0,Select,No,,Female
248,249.0,U0432.bmp,95.0,5.0,Select,Yes,84,Male
249,250.0,U0434.bmp,5.0,95.0,Select,No,,Female
250,251.0,U0435.bmp,100.0,0,Select,Yes,85,Male
253,254.0,U0443.bmp,95.0,5.0,Select,Yes,88,Male
254,255.0,U0445.bmp,95.0,5.0,Select,No,,Male
256,257.0,U0451.bmp,90.0,10.0,Select,Yes,90,Male
257,258.0,U0452.bmp,100.0,0,Select,No,,Male
259,260.0,U0459.bmp,95.0,5.0,Select,Yes,91,Male
260,261.0,U0461.bmp,95.0,5.0,Select,Yes,92,Male
264,265.0,U0480.bmp,95.0,5.0,Select,No,,Male
265,266.0,U0488.bmp,10.0,90.0,Select,No,,Female
266,267.0,U0493.bmp,95.0,5.0,Select,No,,Male
267,268.0,U0495.bmp,100.0,0,Select,No,,Male
268,269.0,U0497.bmp,90.0,10.0,Select,No,,Male
269,270.0,U0499.bmp,95.0,5.0,Select,No,,Male
270,271.0,U0501.bmp,5.0,95.0,Select,No,,Female
271,272.0,U0502.bmp,100.0,0,Select,No,,Male
272,273.0,U0503.bmp,10.0,90.0,Select,Yes,96,Female
273,274.0,U0504.bmp,100.0,0,Select,No,,Male
274,275.0,Obama.jpg,100.0,0,Select,No,,Male
275,276.0,juliaroberts.jpg,0,100.0,Select,No,,Female
276,277.0,arnold.jpg,100.0,0,Select,No,,Male
277,278.0,angelina.jpg,0,100.0,Select,No,,Female
