,SUBJECTID,mTurkCode,TRIALNUM,IMAGE_NUMBER,RAW_ANSWER,IS_TRAP
93,1.0,9175056,,94.0,Male,no
94,1.0,9175056,,95.0,Female,no
95,1.0,9175056,,96.0,Female,no
96,1.0,9175056,,97.0,Male,no
97,1.0,9175056,,98.0,Male,no
98,1.0,9175056,,99.0,Male,no
99,1.0,9175056,,100.0,Female,no
100,1.0,9175056,,101.0,Female,no
101,1.0,9175056,,102.0,Female,no
102,1.0,9175056,,103.0,Male,no
103,1.0,9175056,,104.0,Male,no
104,1.0,9175056,,105.0,Male,no
105,1.0,9175056,,106.0,Female,no
106,1.0,9175056,,107.0,Male,no
107,1.0,9175056,,108.0,Male,no
108,1.0,9175056,,109.0,Male,no
109,1.0,9175056,,110.0,Female,no
110,1.0,9175056,,111.0,Female,no
111,1.0,9175056,,112.0,Female,no
112,1.0,9175056,,113.0,Female,no
113,1.0,9175056,,114.0,Male,no
114,1.0,9175056,,115.0,Female,no
115,1.0,9175056,,116.0,Male,no
116,1.0,9175056,,117.0,Female,no
117,1.0,9175056,,118.0,Female,no
118,1.0,9175056,,119.0,Female,no
119,1.0,9175056,,120.0,Female,no
120,1.0,9175056,,121.0,Male,no
121,1.0,9175056,,122.0,Male,no
122,1.0,9175056,,123.0,Male,no
123,1.0,9175056,,124.0,Female,no
124,1.0,9175056,,125.0,Female,no
125,1.0,9175056,,126.0,Male,no
126,1.0,9175056,,127.0,Female,no
127,1.0,9175056,,128.0,Male,no
128,1.0,9175056,,129.0,Female,no
129,1.0,9175056,,130.0,Male,no
130,1.0,9175056,,131.0,Female,no
131,1.0,9175056,,132.0,Female,no
132,1.0,9175056,,133.0,Male,no
133,1.0,9175056,,134.0,Female,no
134,1.0,9175056,,135.0,Female,no
135,1.0,9175056,,136.0,Male,no
136,1.0,9175056,,137.0,Male,no
137,1.0,9175056,,138.0,Female,no
138,1.0,9175056,,139.0,Male,no
139,1.0,9175056,,140.0,Female,no
140,1.0,9175056,,141.0,Female,no
141,1.0,9175056,,142.0,Female,no
142,1.0,9175056,,143.0,Female,no
143,1.0,9175056,,144.0,Male,no
144,1.0,9175056,,145.0,Female,no
145,1.0,9175056,,146.0,Male,no
146,1.0,9175056,,147.0,Male,no
147,1.0,9175056,,148.0,Male,no
148,1.0,9175056,,149.0,Female,no
149,1.0,9175056,,150.0,Male,no
150,1.0,9175056,,151.0,Male,no
151,1.0,9175056,,152.0,Male,no
152,1.0,9175056,,153.0,Female,no
153,1.0,9175056,,154.0,Male,no
154,1.0,9175056,,155.0,Female,no
155,1.0,9175056,,156.0,Female,no
156,1.0,9175056,,157.0,Male,no
157,1.0,9175056,,158.0,Female,no
158,1.0,9175056,,159.0,Female,no
159,1.0,9175056,,160.0,Female,no
160,1.0,9175056,,161.0,Male,no
161,1.0,9175056,,162.0,Male,no
162,1.0,9175056,,163.0,Male,no
163,1.0,9175056,,164.0,Male,no
164,1.0,9175056,,165.0,Female,no
165,1.0,9175056,,166.0,Male,no
166,1.0,9175056,,167.0,Male,no
167,1.0,9175056,,168.0,Female,no
168,1.0,9175056,,169.0,Male,no
169,1.0,9175056,,170.0,Male,no
170,1.0,9175056,,171.0,Male,no
171,1.0,9175056,,172.0,Male,no
172,1.0,9175056,,173.0,Female,no
173,1.0,9175056,,174.0,Female,no
174,1.0,9175056,,175.0,Female,no
175,1.0,9175056,,176.0,Female,no
176,1.0,9175056,,177.0,Male,no
177,1.0,9175056,,178.0,Male,no
178,1.0,9175056,,179.0,Female,no
179,1.0,9175056,,180.0,Female,no
180,1.0,9175056,,181.0,Male,no
181,1.0,9175056,,182.0,Female,no
182,1.0,9175056,,183.0,Female,no
183,1.0,9175056,,184.0,Male,no
184,1.0,9175056,,185.0,Female,no
185,1.0,9175056,,186.0,Male,no
186,1.0,9175056,,187.0,Female,no
187,1.0,9175056,,188.0,Female,no
188,1.0,9175056,,189.0,Male,no
189,1.0,9175056,,190.0,Male,no
190,1.0,9175056,,191.0,Male,no
191,1.0,9175056,,192.0,Male,no
192,1.0,9175056,,193.0,Female,no
193,1.0,9175056,,194.0,Female,no
194,1.0,9175056,,195.0,Female,no
195,1.0,9175056,,196.0,Male,no
196,1.0,9175056,,197.0,Male,no
197,1.0,9175056,,198.0,Male,no
198,1.0,9175056,,199.0,Male,no
199,1.0,9175056,,200.0,Male,no
200,1.0,9175056,,201.0,Female,no
201,1.0,9175056,,202.0,Female,no
202,1.0,9175056,,203.0,Female,no
203,1.0,9175056,,204.0,Female,no
204,1.0,9175056,,205.0,Male,no
205,1.0,9175056,,206.0,Male,no
206,1.0,9175056,,207.0,Male,no
207,1.0,9175056,,208.0,Male,no
208,1.0,9175056,,209.0,Male,no
209,1.0,9175056,,210.0,Male,no
210,1.0,9175056,,211.0,Male,no
211,1.0,9175056,,212.0,Female,no
212,1.0,9175056,,213.0,Female,no
213,1.0,9175056,,214.0,Female,no
214,1.0,9175056,,215.0,Female,no
215,1.0,9175056,,216.0,Female,no
216,1.0,9175056,,217.0,Female,no
217,1.0,9175056,,218.0,Female,no
218,1.0,9175056,,219.0,Female,no
219,1.0,9175056,,220.0,Female,no
220,1.0,9175056,,221.0,Female,no
221,1.0,9175056,,222.0,Female,no
222,1.0,9175056,,223.0,Female,no
223,1.0,9175056,,224.0,Female,no
224,1.0,9175056,,225.0,Female,no
225,1.0,9175056,,226.0,Male,no
226,1.0,9175056,,227.0,Male,no
227,1.0,9175056,,228.0,Female,no
228,1.0,9175056,,229.0,Male,no
229,1.0,9175056,,230.0,Male,no
230,1.0,9175056,,231.0,Female,no
231,1.0,9175056,,232.0,Female,no
232,1.0,9175056,,233.0,Male,no
233,1.0,9175056,,234.0,Male,no
234,1.0,9175056,,235.0,Male,no
235,1.0,9175056,,236.0,Male,no
236,1.0,9175056,,237.0,Male,no
237,1.0,9175056,,238.0,Male,no
238,1.0,9175056,,239.0,Male,no
239,1.0,9175056,,240.0,Male,no
240,1.0,9175056,,241.0,Male,no
241,1.0,9175056,,242.0,Female,no
242,1.0,9175056,,243.0,Male,no
243,1.0,9175056,,244.0,Male,no
244,1.0,9175056,,245.0,Male,no
245,1.0,9175056,,246.0,Male,no
246,1.0,9175056,,247.0,Female,no
247,1.0,9175056,,248.0,Female,no
248,1.0,9175056,,249.0,Male,no
249,1.0,9175056,,250.0,Female,no
250,1.0,9175056,,251.0,Male,no
251,1.0,9175056,,252.0,Female,no
252,1.0,9175056,,253.0,Female,no
253,1.0,9175056,,254.0,Male,no
254,1.0,9175056,,255.0,Male,no
255,1.0,9175056,,256.0,Female,no
256,1.0,9175056,,257.0,Male,no
257,1.0,9175056,,258.0,Male,no
258,1.0,9175056,,259.0,Male,no
259,1.0,9175056,,260.0,Male,no
260,1.0,9175056,,261.0,Male,no
261,1.0,9175056,,262.0,Female,no
262,1.0,9175056,,263.0,Female,no
263,1.0,9175056,,264.0,Male,no
264,1.0,9175056,,265.0,Male,no
265,1.0,9175056,,266.0,Female,no
266,1.0,9175056,,267.0,Male,no
267,1.0,9175056,,268.0,Male,no
268,1.0,9175056,,269.0,Male,no
269,1.0,9175056,,270.0,Female,no
270,1.0,9175056,,271.0,Female,no
271,1.0,9175056,,272.0,Male,no
272,1.0,9175056,,273.0,Female,no
273,1.0,9175056,,274.0,Male,no
274,1.0,9175056,,275.0,Male,yes
275,1.0,9175056,,276.0,Female,yes
276,1.0,9175056,,277.0,Male,yes
277,1.0,9175056,,278.0,Female,yes
278,2.0,5920762,,1.0,Female,no
279,2.0,5920762,,2.0,Female,no
280,2.0,5920762,,3.0,Male,no
281,2.0,5920762,,4.0,Female,no
282,2.0,5920762,,5.0,Female,no
283,2.0,5920762,,6.0,Female,no
284,2.0,5920762,,7.0,Female,no
285,2.0,5920762,,8.0,Male,no
286,2.0,5920762,,9.0,Male,no
287,2.0,5920762,,10.0,Male,no
288,2.0,5920762,,11.0,Male,no
289,2.0,5920762,,12.0,Female,no
290,2.0,5920762,,13.0,Male,no
291,2.0,5920762,,14.0,Male,no
292,2.0,5920762,,15.0,Female,no
293,2.0,5920762,,16.0,Female,no
294,2.0,5920762,,17.0,Female,no
295,2.0,5920762,,18.0,Female,no
296,2.0,5920762,,19.0,Female,no
297,2.0,5920762,,20.0,Female,no
298,2.0,5920762,,21.0,Female,no
299,2.0,5920762,,22.0,Male,no
300,2.0,5920762,,23.0,Female,no
301,2.0,5920762,,24.0,Female,no
302,2.0,5920762,,25.0,Male,no
303,2.0,5920762,,26.0,Male,no
304,2.0,5920762,,27.0,Male,no
305,2.0,5920762,,28.0,Male,no
306,2.0,5920762,,29.0,Female,no
307,2.0,5920762,,30.0,Female,no
308,2.0,5920762,,31.0,Male,no
309,2.0,5920762,,32.0,Male,no
310,2.0,5920762,,33.0,Male,no
311,2.0,5920762,,34.0,Male,no
312,2.0,5920762,,35.0,Male,no
313,2.0,5920762,,36.0,Male,no
314,2.0,5920762,,37.0,Female,no
315,2.0,5920762,,38.0,Male,no
316,2.0,5920762,,39.0,Female,no
317,2.0,5920762,,40.0,Female,no
318,2.0,5920762,,41.0,Female,no
319,2.0,5920762,,42.0,Male,no
320,2.0,5920762,,43.0,Female,no
321,2.0,5920762,,44.0,Male,no
322,2.0,5920762,,45.0,Female,no
323,2.0,5920762,,46.0,Female,no
324,2.0,5920762,,47.0,Male,no
325,2.0,5920762,,48.0,Male,no
326,2.0,5920762,,49.0,Female,no
327,2.0,5920762,,50.0,Female,no
328,2.0,5920762,,51.0,Female,no
329,2.0,5920762,,52.0,Female,no
330,2.0,5920762,,53.0,Male,no
331,2.0,5920762,,54.0,Female,no
332,2.0,5920762,,55.0,Female,no
333,2.0,5920762,,56.0,Male,no
334,2.0,5920762,,57.0,Female,no
335,2.0,5920762,,58.0,Male,no
336,2.0,5920762,,59.0,Female,no
337,2.0,5920762,,60.0,Male,no
338,2.0,5920762,,61.0,Female,no
339,2.0,5920762,,62.0,Female,no
340,2.0,5920762,,63.0,Male,no
341,2.0,5920762,,64.0,Female,no
342,2.0,5920762,,65.0,Male,no
343,2.0,5920762,,66.0,Female,no
344,2.0,5920762,,67.0,Male,no
345,2.0,5920762,,68.0,Female,no
346,2.0,5920762,,69.0,Male,no
347,2.0,5920762,,70.0,Female,no
348,2.0,5920762,,71.0,Male,no
349,2.0,5920762,,72.0,Male,no
350,2.0,5920762,,73.0,Female,no
351,2.0,5920762,,74.0,Female,no
352,2.0,5920762,,75.0,Male,no
353,2.0,5920762,,76.0,Female,no
354,2.0,5920762,,77.0,Male,no
355,2.0,5920762,,78.0,Female,no
356,2.0,5920762,,79.0,Male,no
357,2.0,5920762,,80.0,Female,no
358,2.0,5920762,,81.0,Female,no
359,2.0,5920762,,82.0,Male,no
360,2.0,5920762,,83.0,Female,no
361,2.0,5920762,,84.0,Female,no
362,2.0,5920762,,85.0,Male,no
363,2.0,5920762,,86.0,Female,no
364,2.0,5920762,,87.0,Female,no
365,2.0,5920762,,88.0,Male,no
366,2.0,5920762,,89.0,Male,no
367,2.0,5920762,,90.0,Female,no
368,2.0,5920762,,91.0,Female,no
369,2.0,5920762,,92.0,Male,no
370,2.0,5920762,,93.0,Female,no
371,2.0,5920762,,94.0,Male,no
372,2.0,5920762,,95.0,Female,no
373,2.0,5920762,,96.0,Female,no
374,2.0,5920762,,97.0,Male,no
375,2.0,5920762,,98.0,Male,no
376,2.0,5920762,,99.0,Male,no
377,2.0,5920762,,100.0,Female,no
378,2.0,5920762,,101.0,Female,no
379,2.0,5920762,,102.0,Female,no
380,2.0,5920762,,103.0,Male,no
381,2.0,5920762,,104.0,Female,no
382,2.0,5920762,,105.0,Male,no
383,2.0,5920762,,106.0,Female,no
384,2.0,5920762,,107.0,Male,no
385,2.0,5920762,,108.0,Male,no
386,2.0,5920762,,109.0,Male,no
387,2.0,5920762,,110.0,Female,no
388,2.0,5920762,,111.0,Female,no
389,2.0,5920762,,112.0,Male,no
390,2.0,5920762,,113.0,Female,no
391,2.0,5920762,,114.0,Male,no
392,2.0,5920762,,115.0,Female,no
393,2.0,5920762,,116.0,Female,no
394,2.0,5920762,,117.0,Female,no
395,2.0,5920762,,118.0,Female,no
396,2.0,5920762,,119.0,Female,no
397,2.0,5920762,,120.0,Female,no
398,2.0,5920762,,121.0,Male,no
399,2.0,5920762,,122.0,Male,no
400,2.0,5920762,,123.0,Male,no
401,2.0,5920762,,124.0,Female,no
402,2.0,5920762,,125.0,Female,no
403,2.0,5920762,,126.0,Male,no
404,2.0,5920762,,127.0,Female,no
405,2.0,5920762,,128.0,Female,no
406,2.0,5920762,,129.0,Female,no
407,2.0,5920762,,130.0,Male,no
408,2.0,5920762,,131.0,Female,no
409,2.0,5920762,,132.0,Female,no
410,2.0,5920762,,133.0,Male,no
411,2.0,5920762,,134.0,Female,no
412,2.0,5920762,,135.0,Female,no
413,2.0,5920762,,136.0,Male,no
414,2.0,5920762,,137.0,Male,no
415,2.0,5920762,,138.0,Female,no
416,2.0,5920762,,139.0,Male,no
417,2.0,5920762,,140.0,Female,no
418,2.0,5920762,,141.0,Female,no
419,2.0,5920762,,142.0,Female,no
420,2.0,5920762,,143.0,Female,no
421,2.0,5920762,,144.0,Male,no
422,2.0,5920762,,145.0,Male,no
423,2.0,5920762,,146.0,Male,no
424,2.0,5920762,,147.0,Male,no
425,2.0,5920762,,148.0,Female,no
426,2.0,5920762,,149.0,Female,no
427,2.0,5920762,,150.0,Male,no
428,2.0,5920762,,151.0,Male,no
429,2.0,5920762,,152.0,Male,no
430,2.0,5920762,,153.0,Female,no
431,2.0,5920762,,154.0,Male,no
432,2.0,5920762,,155.0,Female,no
433,2.0,5920762,,156.0,Female,no
434,2.0,5920762,,157.0,Male,no
435,2.0,5920762,,158.0,Female,no
436,2.0,5920762,,159.0,Female,no
437,2.0,5920762,,160.0,Male,no
438,2.0,5920762,,161.0,Male,no
439,2.0,5920762,,162.0,Male,no
440,2.0,5920762,,163.0,Male,no
441,2.0,5920762,,164.0,Male,no
442,2.0,5920762,,165.0,Female,no
443,2.0,5920762,,166.0,Male,no
444,2.0,5920762,,167.0,Female,no
445,2.0,5920762,,168.0,Female,no
446,2.0,5920762,,169.0,Male,no
447,2.0,5920762,,170.0,Male,no
448,2.0,5920762,,171.0,Male,no
449,2.0,5920762,,172.0,Male,no
450,2.0,5920762,,173.0,Female,no
451,2.0,5920762,,174.0,Female,no
452,2.0,5920762,,175.0,Male,no
453,2.0,5920762,,176.0,Female,no
454,2.0,5920762,,177.0,Male,no
455,2.0,5920762,,178.0,Male,no
456,2.0,5920762,,179.0,Female,no
457,2.0,5920762,,180.0,Female,no
458,2.0,5920762,,181.0,Male,no
459,2.0,5920762,,182.0,Female,no
460,2.0,5920762,,183.0,Female,no
461,2.0,5920762,,184.0,Male,no
462,2.0,5920762,,185.0,Female,no
463,2.0,5920762,,186.0,Male,no
464,2.0,5920762,,187.0,Female,no
465,2.0,5920762,,188.0,Female,no
466,2.0,5920762,,189.0,Female,no
467,2.0,5920762,,190.0,Male,no
468,2.0,5920762,,191.0,Male,no
469,2.0,5920762,,192.0,Male,no
470,2.0,5920762,,193.0,Female,no
471,2.0,5920762,,194.0,Female,no
472,2.0,5920762,,195.0,Female,no
473,2.0,5920762,,196.0,Male,no
474,2.0,5920762,,197.0,Male,no
475,2.0,5920762,,198.0,Male,no
476,2.0,5920762,,199.0,Male,no
477,2.0,5920762,,200.0,Female,no
478,2.0,5920762,,201.0,Female,no
479,2.0,5920762,,202.0,Female,no
480,2.0,5920762,,203.0,Female,no
481,2.0,5920762,,204.0,Female,no
482,2.0,5920762,,205.0,Male,no
483,2.0,5920762,,206.0,Male,no
484,2.0,5920762,,207.0,Male,no
485,2.0,5920762,,208.0,Male,no
486,2.0,5920762,,209.0,Male,no
487,2.0,5920762,,210.0,Male,no
488,2.0,5920762,,211.0,Male,no
489,2.0,5920762,,212.0,Female,no
490,2.0,5920762,,213.0,Male,no
491,2.0,5920762,,214.0,Female,no
492,2.0,5920762,,215.0,Female,no
493,2.0,5920762,,216.0,Female,no
494,2.0,5920762,,217.0,Female,no
495,2.0,5920762,,218.0,Female,no
496,2.0,5920762,,219.0,Female,no
497,2.0,5920762,,220.0,Female,no
498,2.0,5920762,,221.0,Female,no
499,2.0,5920762,,222.0,Female,no
500,2.0,5920762,,223.0,Female,no
501,2.0,5920762,,224.0,Female,no
502,2.0,5920762,,225.0,Female,no
503,2.0,5920762,,226.0,Female,no
504,2.0,5920762,,227.0,Male,no
505,2.0,5920762,,228.0,Male,no
506,2.0,5920762,,229.0,Male,no
507,2.0,5920762,,230.0,Male,no
508,2.0,5920762,,231.0,Female,no
509,2.0,5920762,,232.0,Male,no
510,2.0,5920762,,233.0,Male,no
511,2.0,5920762,,234.0,Male,no
512,2.0,5920762,,235.0,Male,no
513,2.0,5920762,,236.0,Male,no
514,2.0,5920762,,237.0,Male,no
515,2.0,5920762,,238.0,Male,no
516,2.0,5920762,,239.0,Male,no
517,2.0,5920762,,240.0,Male,no
518,2.0,5920762,,241.0,Male,no
519,2.0,5920762,,242.0,Female,no
520,2.0,5920762,,243.0,Male,no
521,2.0,5920762,,244.0,Male,no
522,2.0,5920762,,245.0,Male,no
523,2.0,5920762,,246.0,Female,no
524,2.0,5920762,,247.0,Female,no
525,2.0,5920762,,248.0,Female,no
526,2.0,5920762,,249.0,Male,no
527,2.0,5920762,,250.0,Female,no
528,2.0,5920762,,251.0,Male,no
529,2.0,5920762,,252.0,Female,no
530,2.0,5920762,,253.0,Male,no
531,2.0,5920762,,254.0,Male,no
532,2.0,5920762,,255.0,Male,no
533,2.0,5920762,,256.0,Female,no
534,2.0,5920762,,257.0,Male,no
535,2.0,5920762,,258.0,Male,no
536,2.0,5920762,,259.0,Female,no
537,2.0,5920762,,260.0,Male,no
538,2.0,5920762,,261.0,Male,no
539,2.0,5920762,,262.0,Female,no
540,2.0,5920762,,263.0,Female,no
541,2.0,5920762,,264.0,Male,no
542,2.0,5920762,,265.0,Male,no
543,2.0,5920762,,266.0,Female,no
544,2.0,5920762,,267.0,Male,no
545,2.0,5920762,,268.0,Male,no
546,2.0,5920762,,269.0,Male,no
547,2.0,5920762,,270.0,Male,no
548,2.0,5920762,,271.0,Female,no
549,2.0,5920762,,272.0,Male,no
550,2.0,5920762,,273.0,Female,no
551,2.0,5920762,,274.0,Male,no
552,2.0,5920762,,275.0,Male,yes
553,2.0,5920762,,276.0,Female,yes
554,2.0,5920762,,277.0,Male,yes
555,2.0,5920762,,278.0,Female,yes
556,3.0,2503639,,1.0,Female,no
557,3.0,2503639,,2.0,Female,no
558,3.0,2503639,,3.0,Male,no
559,3.0,2503639,,4.0,Female,no
560,3.0,2503639,,5.0,Female,no
561,3.0,2503639,,6.0,Male,no
562,3.0,2503639,,7.0,Female,no
563,3.0,2503639,,8.0,Male,no
564,3.0,2503639,,9.0,Male,no
565,3.0,2503639,,10.0,Male,no
566,3.0,2503639,,11.0,Male,no
567,3.0,2503639,,12.0,Female,no
568,3.0,2503639,,13.0,Male,no
569,3.0,2503639,,14.0,Male,no
570,3.0,2503639,,15.0,Female,no
571,3.0,2503639,,16.0,Female,no
572,3.0,2503639,,17.0,Female,no
573,3.0,2503639,,18.0,Female,no
574,3.0,2503639,,19.0,Female,no
575,3.0,2503639,,20.0,Female,no
576,3.0,2503639,,21.0,Female,no
577,3.0,2503639,,22.0,Male,no
578,3.0,2503639,,23.0,Male,no
579,3.0,2503639,,24.0,Female,no
580,3.0,2503639,,25.0,Male,no
581,3.0,2503639,,26.0,Male,no
582,3.0,2503639,,27.0,Male,no
583,3.0,2503639,,28.0,Male,no
584,3.0,2503639,,29.0,Male,no
585,3.0,2503639,,30.0,Female,no
586,3.0,2503639,,31.0,Male,no
587,3.0,2503639,,32.0,Male,no
588,3.0,2503639,,33.0,Female,no
589,3.0,2503639,,34.0,Male,no
590,3.0,2503639,,35.0,Male,no
591,3.0,2503639,,36.0,Male,no
592,3.0,2503639,,37.0,Female,no
593,3.0,2503639,,38.0,Male,no
594,3.0,2503639,,39.0,Female,no
595,3.0,2503639,,40.0,Female,no
596,3.0,2503639,,41.0,Female,no
597,3.0,2503639,,42.0,Male,no
598,3.0,2503639,,43.0,Female,no
599,3.0,2503639,,44.0,Male,no
600,3.0,2503639,,45.0,Female,no
601,3.0,2503639,,46.0,Female,no
602,3.0,2503639,,47.0,Male,no
603,3.0,2503639,,48.0,Male,no
604,3.0,2503639,,49.0,Female,no
605,3.0,2503639,,50.0,Male,no
606,3.0,2503639,,51.0,Female,no
607,3.0,2503639,,52.0,Female,no
608,3.0,2503639,,53.0,Male,no
609,3.0,2503639,,54.0,Female,no
610,3.0,2503639,,55.0,Female,no
611,3.0,2503639,,56.0,Male,no
612,3.0,2503639,,57.0,Female,no
613,3.0,2503639,,58.0,Female,no
614,3.0,2503639,,59.0,Female,no
615,3.0,2503639,,60.0,Male,no
616,3.0,2503639,,61.0,Female,no
617,3.0,2503639,,62.0,Male,no
618,3.0,2503639,,63.0,Female,no
619,3.0,2503639,,64.0,Female,no
620,3.0,2503639,,65.0,Female,no
621,3.0,2503639,,66.0,Female,no
622,3.0,2503639,,67.0,Male,no
623,3.0,2503639,,68.0,Female,no
624,3.0,2503639,,69.0,Male,no
625,3.0,2503639,,70.0,Female,no
626,3.0,2503639,,71.0,Male,no
627,3.0,2503639,,72.0,Male,no
628,3.0,2503639,,73.0,Female,no
629,3.0,2503639,,74.0,Female,no
630,3.0,2503639,,75.0,Male,no
631,3.0,2503639,,76.0,Female,no
632,3.0,2503639,,77.0,Male,no
633,3.0,2503639,,78.0,Female,no
634,3.0,2503639,,79.0,Male,no
635,3.0,2503639,,80.0,Female,no
636,3.0,2503639,,81.0,Female,no
637,3.0,2503639,,82.0,Male,no
638,3.0,2503639,,83.0,Female,no
639,3.0,2503639,,84.0,Female,no
640,3.0,2503639,,85.0,Female,no
641,3.0,2503639,,86.0,Female,no
642,3.0,2503639,,87.0,Female,no
643,3.0,2503639,,88.0,Male,no
644,3.0,2503639,,89.0,Male,no
645,3.0,2503639,,90.0,Female,no
646,3.0,2503639,,91.0,Female,no
647,3.0,2503639,,92.0,Male,no
648,3.0,2503639,,93.0,Female,no
649,3.0,2503639,,94.0,Male,no
650,3.0,2503639,,95.0,Female,no
651,3.0,2503639,,96.0,Female,no
652,3.0,2503639,,97.0,Male,no
653,3.0,2503639,,98.0,Male,no
654,3.0,2503639,,99.0,Male,no
655,3.0,2503639,,100.0,Female,no
656,3.0,2503639,,101.0,Female,no
657,3.0,2503639,,102.0,Female,no
658,3.0,2503639,,103.0,Male,no
659,3.0,2503639,,104.0,Male,no
660,3.0,2503639,,105.0,Male,no
661,3.0,2503639,,106.0,Female,no
662,3.0,2503639,,107.0,Male,no
663,3.0,2503639,,108.0,Male,no
664,3.0,2503639,,109.0,Male,no
665,3.0,2503639,,110.0,Female,no
666,3.0,2503639,,111.0,Female,no
667,3.0,2503639,,112.0,Male,no
668,3.0,2503639,,113.0,Female,no
669,3.0,2503639,,114.0,Male,no
670,3.0,2503639,,115.0,Female,no
671,3.0,2503639,,116.0,Female,no
672,3.0,2503639,,117.0,Female,no
673,3.0,2503639,,118.0,Female,no
674,3.0,2503639,,119.0,Female,no
675,3.0,2503639,,120.0,Female,no
676,3.0,2503639,,121.0,Male,no
677,3.0,2503639,,122.0,Male,no
678,3.0,2503639,,123.0,Male,no
679,3.0,2503639,,124.0,Female,no
680,3.0,2503639,,125.0,Female,no
681,3.0,2503639,,126.0,Male,no
682,3.0,2503639,,127.0,Female,no
683,3.0,2503639,,128.0,Male,no
684,3.0,2503639,,129.0,Female,no
685,3.0,2503639,,130.0,Male,no
686,3.0,2503639,,131.0,Female,no
687,3.0,2503639,,132.0,Female,no
688,3.0,2503639,,133.0,Male,no
689,3.0,2503639,,134.0,Female,no
690,3.0,2503639,,135.0,Female,no
691,3.0,2503639,,136.0,Male,no
692,3.0,2503639,,137.0,Male,no
693,3.0,2503639,,138.0,Female,no
