,SUBJECTID,mTurkCode,TRIALNUM,IMAGE_NUMBER,RAW_ANSWER,RAW_ANSWER
59,1.0,9175056,,60.0,Male,Male
60,1.0,9175056,,61.0,Female,Female
61,1.0,9175056,,62.0,Female,Female
62,1.0,9175056,,63.0,Female,Female
63,1.0,9175056,,64.0,Female,Female
64,1.0,9175056,,65.0,Female,Female
65,1.0,9175056,,66.0,Female,Female
66,1.0,9175056,,67.0,Male,Male
67,1.0,9175056,,68.0,Female,Female
68,1.0,9175056,,69.0,Male,Male
69,1.0,9175056,,70.0,Male,Male
70,1.0,9175056,,71.0,Male,Male
71,1.0,9175056,,72.0,Male,Male
72,1.0,9175056,,73.0,Female,Female
73,1.0,9175056,,74.0,Female,Female
74,1.0,9175056,,75.0,Male,Male
75,1.0,9175056,,76.0,Female,Female
76,1.0,9175056,,77.0,Male,Male
77,1.0,9175056,,78.0,Female,Female
78,1.0,9175056,,79.0,Female,Female
79,1.0,9175056,,80.0,Female,Female
80,1.0,9175056,,81.0,Female,Female
81,1.0,9175056,,82.0,Male,Male
82,1.0,9175056,,83.0,Female,Female
83,1.0,9175056,,84.0,Female,Female
84,1.0,9175056,,85.0,Female,Female
85,1.0,9175056,,86.0,Female,Female
86,1.0,9175056,,87.0,Female,Female
87,1.0,9175056,,88.0,Male,Male
88,1.0,9175056,,89.0,Male,Male
89,1.0,9175056,,90.0,Male,Male
90,1.0,9175056,,91.0,Female,Female
91,1.0,9175056,,92.0,Male,Male
92,1.0,9175056,,93.0,Female,Female
93,1.0,9175056,,94.0,Male,Male
94,1.0,9175056,,95.0,Female,Female
95,1.0,9175056,,96.0,Female,Female
96,1.0,9175056,,97.0,Male,Male
97,1.0,9175056,,98.0,Male,Male
98,1.0,9175056,,99.0,Male,Male
99,1.0,9175056,,100.0,Female,Female
100,1.0,9175056,,101.0,Female,Female
101,1.0,9175056,,102.0,Female,Female
102,1.0,9175056,,103.0,Male,Male
103,1.0,9175056,,104.0,Male,Male
104,1.0,9175056,,105.0,Male,Male
105,1.0,9175056,,106.0,Female,Female
106,1.0,9175056,,107.0,Male,Male
107,1.0,9175056,,108.0,Male,Male
108,1.0,9175056,,109.0,Male,Male
109,1.0,9175056,,110.0,Female,Female
110,1.0,9175056,,111.0,Female,Female
111,1.0,9175056,,112.0,Female,Female
112,1.0,9175056,,113.0,Female,Female
113,1.0,9175056,,114.0,Male,Male
114,1.0,9175056,,115.0,Female,Female
115,1.0,9175056,,116.0,Male,Male
116,1.0,9175056,,117.0,Female,Female
117,1.0,9175056,,118.0,Female,Female
118,1.0,9175056,,119.0,Female,Female
119,1.0,9175056,,120.0,Female,Female
120,1.0,9175056,,121.0,Male,Male
121,1.0,9175056,,122.0,Male,Male
122,1.0,9175056,,123.0,Male,Male
123,1.0,9175056,,124.0,Female,Female
124,1.0,9175056,,125.0,Female,Female
125,1.0,9175056,,126.0,Male,Male
126,1.0,9175056,,127.0,Female,Female
127,1.0,9175056,,128.0,Male,Male
128,1.0,9175056,,129.0,Female,Female
129,1.0,9175056,,130.0,Male,Male
130,1.0,9175056,,131.0,Female,Female
131,1.0,9175056,,132.0,Female,Female
132,1.0,9175056,,133.0,Male,Male
133,1.0,9175056,,134.0,Female,Female
134,1.0,9175056,,135.0,Female,Female
135,1.0,9175056,,136.0,Male,Male
136,1.0,9175056,,137.0,Male,Male
137,1.0,9175056,,138.0,Female,Female
138,1.0,9175056,,139.0,Male,Male
139,1.0,9175056,,140.0,Female,Female
140,1.0,9175056,,141.0,Female,Female
141,1.0,9175056,,142.0,Female,Female
142,1.0,9175056,,143.0,Female,Female
143,1.0,9175056,,144.0,Male,Male
144,1.0,9175056,,145.0,Female,Female
145,1.0,9175056,,146.0,Male,Male
146,1.0,9175056,,147.0,Male,Male
147,1.0,9175056,,148.0,Male,Male
148,1.0,9175056,,149.0,Female,Female
149,1.0,9175056,,150.0,Male,Male
150,1.0,9175056,,151.0,Male,Male
151,1.0,9175056,,152.0,Male,Male
152,1.0,9175056,,153.0,Female,Female
153,1.0,9175056,,154.0,Male,Male
154,1.0,9175056,,155.0,Female,Female
155,1.0,9175056,,156.0,Female,Female
156,1.0,9175056,,157.0,Male,Male
157,1.0,9175056,,158.0,Female,Female
158,1.0,9175056,,159.0,Female,Female
159,1.0,9175056,,160.0,Female,Female
160,1.0,9175056,,161.0,Male,Male
161,1.0,9175056,,162.0,Male,Male
162,1.0,9175056,,163.0,Male,Male
163,1.0,9175056,,164.0,Male,Male
164,1.0,9175056,,165.0,Female,Female
165,1.0,9175056,,166.0,Male,Male
166,1.0,9175056,,167.0,Male,Male
167,1.0,9175056,,168.0,Female,Female
168,1.0,9175056,,169.0,Male,Male
169,1.0,9175056,,170.0,Male,Male
170,1.0,9175056,,171.0,Male,Male
171,1.0,9175056,,172.0,Male,Male
172,1.0,9175056,,173.0,Female,Female
173,1.0,9175056,,174.0,Female,Female
174,1.0,9175056,,175.0,Female,Female
175,1.0,9175056,,176.0,Female,Female
176,1.0,9175056,,177.0,Male,Male
177,1.0,9175056,,178.0,Male,Male
178,1.0,9175056,,179.0,Female,Female
179,1.0,9175056,,180.0,Female,Female
180,1.0,9175056,,181.0,Male,Male
181,1.0,9175056,,182.0,Female,Female
182,1.0,9175056,,183.0,Female,Female
183,1.0,9175056,,184.0,Male,Male
184,1.0,9175056,,185.0,Female,Female
185,1.0,9175056,,186.0,Male,Male
186,1.0,9175056,,187.0,Female,Female
187,1.0,9175056,,188.0,Female,Female
188,1.0,9175056,,189.0,Male,Male
189,1.0,9175056,,190.0,Male,Male
190,1.0,9175056,,191.0,Male,Male
191,1.0,9175056,,192.0,Male,Male
192,1.0,9175056,,193.0,Female,Female
193,1.0,9175056,,194.0,Female,Female
194,1.0,9175056,,195.0,Female,Female
195,1.0,9175056,,196.0,Male,Male
196,1.0,9175056,,197.0,Male,Male
197,1.0,9175056,,198.0,Male,Male
198,1.0,9175056,,199.0,Male,Male
199,1.0,9175056,,200.0,Male,Male
200,1.0,9175056,,201.0,Female,Female
201,1.0,9175056,,202.0,Female,Female
202,1.0,9175056,,203.0,Female,Female
203,1.0,9175056,,204.0,Female,Female
204,1.0,9175056,,205.0,Male,Male
205,1.0,9175056,,206.0,Male,Male
206,1.0,9175056,,207.0,Male,Male
207,1.0,9175056,,208.0,Male,Male
208,1.0,9175056,,209.0,Male,Male
209,1.0,9175056,,210.0,Male,Male
210,1.0,9175056,,211.0,Male,Male
211,1.0,9175056,,212.0,Female,Female
212,1.0,9175056,,213.0,Female,Female
213,1.0,9175056,,214.0,Female,Female
214,1.0,9175056,,215.0,Female,Female
215,1.0,9175056,,216.0,Female,Female
216,1.0,9175056,,217.0,Female,Female
217,1.0,9175056,,218.0,Female,Female
218,1.0,9175056,,219.0,Female,Female
219,1.0,9175056,,220.0,Female,Female
220,1.0,9175056,,221.0,Female,Female
221,1.0,9175056,,222.0,Female,Female
222,1.0,9175056,,223.0,Female,Female
223,1.0,9175056,,224.0,Female,Female
224,1.0,9175056,,225.0,Female,Female
225,1.0,9175056,,226.0,Male,Male
226,1.0,9175056,,227.0,Male,Male
227,1.0,9175056,,228.0,Female,Female
228,1.0,9175056,,229.0,Male,Male
229,1.0,9175056,,230.0,Male,Male
230,1.0,9175056,,231.0,Female,Female
231,1.0,9175056,,232.0,Female,Female
232,1.0,9175056,,233.0,Male,Male
233,1.0,9175056,,234.0,Male,Male
234,1.0,9175056,,235.0,Male,Male
235,1.0,9175056,,236.0,Male,Male
236,1.0,9175056,,237.0,Male,Male
237,1.0,9175056,,238.0,Male,Male
238,1.0,9175056,,239.0,Male,Male
239,1.0,9175056,,240.0,Male,Male
240,1.0,9175056,,241.0,Male,Male
241,1.0,9175056,,242.0,Female,Female
242,1.0,9175056,,243.0,Male,Male
243,1.0,9175056,,244.0,Male,Male
244,1.0,9175056,,245.0,Male,Male
245,1.0,9175056,,246.0,Male,Male
246,1.0,9175056,,247.0,Female,Female
247,1.0,9175056,,248.0,Female,Female
248,1.0,9175056,,249.0,Male,Male
249,1.0,9175056,,250.0,Female,Female
250,1.0,9175056,,251.0,Male,Male
251,1.0,9175056,,252.0,Female,Female
252,1.0,9175056,,253.0,Female,Female
253,1.0,9175056,,254.0,Male,Male
254,1.0,9175056,,255.0,Male,Male
255,1.0,9175056,,256.0,Female,Female
256,1.0,9175056,,257.0,Male,Male
257,1.0,9175056,,258.0,Male,Male
258,1.0,9175056,,259.0,Male,Male
259,1.0,9175056,,260.0,Male,Male
260,1.0,9175056,,261.0,Male,Male
261,1.0,9175056,,262.0,Female,Female
262,1.0,9175056,,263.0,Female,Female
263,1.0,9175056,,264.0,Male,Male
264,1.0,9175056,,265.0,Male,Male
265,1.0,9175056,,266.0,Female,Female
266,1.0,9175056,,267.0,Male,Male
267,1.0,9175056,,268.0,Male,Male
268,1.0,9175056,,269.0,Male,Male
269,1.0,9175056,,270.0,Female,Female
270,1.0,9175056,,271.0,Female,Female
271,1.0,9175056,,272.0,Male,Male
272,1.0,9175056,,273.0,Female,Female
273,1.0,9175056,,274.0,Male,Male
274,1.0,9175056,,275.0,Male,Male
275,1.0,9175056,,276.0,Female,Female
276,1.0,9175056,,277.0,Male,Male
277,1.0,9175056,,278.0,Female,Female
278,2.0,5920762,,1.0,Female,Female
279,2.0,5920762,,2.0,Female,Female
280,2.0,5920762,,3.0,Male,Male
281,2.0,5920762,,4.0,Female,Female
282,2.0,5920762,,5.0,Female,Female
283,2.0,5920762,,6.0,Female,Female
284,2.0,5920762,,7.0,Female,Female
285,2.0,5920762,,8.0,Male,Male
286,2.0,5920762,,9.0,Male,Male
287,2.0,5920762,,10.0,Male,Male
288,2.0,5920762,,11.0,Male,Male
289,2.0,5920762,,12.0,Female,Female
290,2.0,5920762,,13.0,Male,Male
291,2.0,5920762,,14.0,Male,Male
292,2.0,5920762,,15.0,Female,Female
293,2.0,5920762,,16.0,Female,Female
294,2.0,5920762,,17.0,Female,Female
295,2.0,5920762,,18.0,Female,Female
296,2.0,5920762,,19.0,Female,Female
297,2.0,5920762,,20.0,Female,Female
298,2.0,5920762,,21.0,Female,Female
299,2.0,5920762,,22.0,Male,Male
300,2.0,5920762,,23.0,Female,Female
301,2.0,5920762,,24.0,Female,Female
302,2.0,5920762,,25.0,Male,Male
303,2.0,5920762,,26.0,Male,Male
304,2.0,5920762,,27.0,Male,Male
305,2.0,5920762,,28.0,Male,Male
306,2.0,5920762,,29.0,Female,Female
307,2.0,5920762,,30.0,Female,Female
308,2.0,5920762,,31.0,Male,Male
309,2.0,5920762,,32.0,Male,Male
310,2.0,5920762,,33.0,Male,Male
311,2.0,5920762,,34.0,Male,Male
312,2.0,5920762,,35.0,Male,Male
313,2.0,5920762,,36.0,Male,Male
314,2.0,5920762,,37.0,Female,Female
315,2.0,5920762,,38.0,Male,Male
316,2.0,5920762,,39.0,Female,Female
317,2.0,5920762,,40.0,Female,Female
318,2.0,5920762,,41.0,Female,Female
319,2.0,5920762,,42.0,Male,Male
320,2.0,5920762,,43.0,Female,Female
321,2.0,5920762,,44.0,Male,Male
322,2.0,5920762,,45.0,Female,Female
323,2.0,5920762,,46.0,Female,Female
324,2.0,5920762,,47.0,Male,Male
325,2.0,5920762,,48.0,Male,Male
326,2.0,5920762,,49.0,Female,Female
327,2.0,5920762,,50.0,Female,Female
328,2.0,5920762,,51.0,Female,Female
329,2.0,5920762,,52.0,Female,Female
330,2.0,5920762,,53.0,Male,Male
331,2.0,5920762,,54.0,Female,Female
332,2.0,5920762,,55.0,Female,Female
333,2.0,5920762,,56.0,Male,Male
334,2.0,5920762,,57.0,Female,Female
335,2.0,5920762,,58.0,Male,Male
336,2.0,5920762,,59.0,Female,Female
337,2.0,5920762,,60.0,Male,Male
338,2.0,5920762,,61.0,Female,Female
339,2.0,5920762,,62.0,Female,Female
340,2.0,5920762,,63.0,Male,Male
341,2.0,5920762,,64.0,Female,Female
342,2.0,5920762,,65.0,Male,Male
343,2.0,5920762,,66.0,Female,Female
344,2.0,5920762,,67.0,Male,Male
345,2.0,5920762,,68.0,Female,Female
346,2.0,5920762,,69.0,Male,Male
347,2.0,5920762,,70.0,Female,Female
348,2.0,5920762,,71.0,Male,Male
349,2.0,5920762,,72.0,Male,Male
350,2.0,5920762,,73.0,Female,Female
351,2.0,5920762,,74.0,Female,Female
352,2.0,5920762,,75.0,Male,Male
353,2.0,5920762,,76.0,Female,Female
354,2.0,5920762,,77.0,Male,Male
355,2.0,5920762,,78.0,Female,Female
356,2.0,5920762,,79.0,Male,Male
357,2.0,5920762,,80.0,Female,Female
358,2.0,5920762,,81.0,Female,Female
359,2.0,5920762,,82.0,Male,Male
360,2.0,5920762,,83.0,Female,Female
361,2.0,5920762,,84.0,Female,Female
362,2.0,5920762,,85.0,Male,Male
363,2.0,5920762,,86.0,Female,Female
364,2.0,5920762,,87.0,Female,Female
365,2.0,5920762,,88.0,Male,Male
366,2.0,5920762,,89.0,Male,Male
367,2.0,5920762,,90.0,Female,Female
368,2.0,5920762,,91.0,Female,Female
369,2.0,5920762,,92.0,Male,Male
370,2.0,5920762,,93.0,Female,Female
371,2.0,5920762,,94.0,Male,Male
372,2.0,5920762,,95.0,Female,Female
373,2.0,5920762,,96.0,Female,Female
374,2.0,5920762,,97.0,Male,Male
375,2.0,5920762,,98.0,Male,Male
376,2.0,5920762,,99.0,Male,Male
377,2.0,5920762,,100.0,Female,Female
378,2.0,5920762,,101.0,Female,Female
379,2.0,5920762,,102.0,Female,Female
380,2.0,5920762,,103.0,Male,Male
381,2.0,5920762,,104.0,Female,Female
382,2.0,5920762,,105.0,Male,Male
383,2.0,5920762,,106.0,Female,Female
384,2.0,5920762,,107.0,Male,Male
385,2.0,5920762,,108.0,Male,Male
386,2.0,5920762,,109.0,Male,Male
387,2.0,5920762,,110.0,Female,Female
388,2.0,5920762,,111.0,Female,Female
389,2.0,5920762,,112.0,Male,Male
390,2.0,5920762,,113.0,Female,Female
391,2.0,5920762,,114.0,Male,Male
392,2.0,5920762,,115.0,Female,Female
393,2.0,5920762,,116.0,Female,Female
394,2.0,5920762,,117.0,Female,Female
395,2.0,5920762,,118.0,Female,Female
396,2.0,5920762,,119.0,Female,Female
397,2.0,5920762,,120.0,Female,Female
398,2.0,5920762,,121.0,Male,Male
399,2.0,5920762,,122.0,Male,Male
400,2.0,5920762,,123.0,Male,Male
401,2.0,5920762,,124.0,Female,Female
402,2.0,5920762,,125.0,Female,Female
403,2.0,5920762,,126.0,Male,Male
404,2.0,5920762,,127.0,Female,Female
405,2.0,5920762,,128.0,Female,Female
406,2.0,5920762,,129.0,Female,Female
407,2.0,5920762,,130.0,Male,Male
408,2.0,5920762,,131.0,Female,Female
409,2.0,5920762,,132.0,Female,Female
410,2.0,5920762,,133.0,Male,Male
411,2.0,5920762,,134.0,Female,Female
412,2.0,5920762,,135.0,Female,Female
413,2.0,5920762,,136.0,Male,Male
414,2.0,5920762,,137.0,Male,Male
415,2.0,5920762,,138.0,Female,Female
416,2.0,5920762,,139.0,Male,Male
417,2.0,5920762,,140.0,Female,Female
418,2.0,5920762,,141.0,Female,Female
419,2.0,5920762,,142.0,Female,Female
420,2.0,5920762,,143.0,Female,Female
421,2.0,5920762,,144.0,Male,Male
422,2.0,5920762,,145.0,Male,Male
423,2.0,5920762,,146.0,Male,Male
424,2.0,5920762,,147.0,Male,Male
425,2.0,5920762,,148.0,Female,Female
426,2.0,5920762,,149.0,Female,Female
427,2.0,5920762,,150.0,Male,Male
428,2.0,5920762,,151.0,Male,Male
429,2.0,5920762,,152.0,Male,Male
430,2.0,5920762,,153.0,Female,Female
431,2.0,5920762,,154.0,Male,Male
432,2.0,5920762,,155.0,Female,Female
433,2.0,5920762,,156.0,Female,Female
434,2.0,5920762,,157.0,Male,Male
435,2.0,5920762,,158.0,Female,Female
436,2.0,5920762,,159.0,Female,Female
437,2.0,5920762,,160.0,Male,Male
438,2.0,5920762,,161.0,Male,Male
439,2.0,5920762,,162.0,Male,Male
440,2.0,5920762,,163.0,Male,Male
441,2.0,5920762,,164.0,Male,Male
442,2.0,5920762,,165.0,Female,Female
443,2.0,5920762,,166.0,Male,Male
444,2.0,5920762,,167.0,Female,Female
445,2.0,5920762,,168.0,Female,Female
446,2.0,5920762,,169.0,Male,Male
447,2.0,5920762,,170.0,Male,Male
448,2.0,5920762,,171.0,Male,Male
449,2.0,5920762,,172.0,Male,Male
450,2.0,5920762,,173.0,Female,Female
451,2.0,5920762,,174.0,Female,Female
452,2.0,5920762,,175.0,Male,Male
453,2.0,5920762,,176.0,Female,Female
454,2.0,5920762,,177.0,Male,Male
455,2.0,5920762,,178.0,Male,Male
456,2.0,5920762,,179.0,Female,Female
457,2.0,5920762,,180.0,Female,Female
458,2.0,5920762,,181.0,Male,Male
459,2.0,5920762,,182.0,Female,Female
460,2.0,5920762,,183.0,Female,Female
461,2.0,5920762,,184.0,Male,Male
462,2.0,5920762,,185.0,Female,Female
463,2.0,5920762,,186.0,Male,Male
464,2.0,5920762,,187.0,Female,Female
465,2.0,5920762,,188.0,Female,Female
466,2.0,5920762,,189.0,Female,Female
467,2.0,5920762,,190.0,Male,Male
468,2.0,5920762,,191.0,Male,Male
469,2.0,5920762,,192.0,Male,Male
470,2.0,5920762,,193.0,Female,Female
471,2.0,5920762,,194.0,Female,Female
472,2.0,5920762,,195.0,Female,Female
473,2.0,5920762,,196.0,Male,Male
474,2.0,5920762,,197.0,Male,Male
475,2.0,5920762,,198.0,Male,Male
476,2.0,5920762,,199.0,Male,Male
477,2.0,5920762,,200.0,Female,Female
478,2.0,5920762,,201.0,Female,Female
479,2.0,5920762,,202.0,Female,Female
480,2.0,5920762,,203.0,Female,Female
481,2.0,5920762,,204.0,Female,Female
482,2.0,5920762,,205.0,Male,Male
483,2.0,5920762,,206.0,Male,Male
484,2.0,5920762,,207.0,Male,Male
485,2.0,5920762,,208.0,Male,Male
486,2.0,5920762,,209.0,Male,Male
487,2.0,5920762,,210.0,Male,Male
488,2.0,5920762,,211.0,Male,Male
489,2.0,5920762,,212.0,Female,Female
490,2.0,5920762,,213.0,Male,Male
491,2.0,5920762,,214.0,Female,Female
492,2.0,5920762,,215.0,Female,Female
493,2.0,5920762,,216.0,Female,Female
494,2.0,5920762,,217.0,Female,Female
495,2.0,5920762,,218.0,Female,Female
496,2.0,5920762,,219.0,Female,Female
497,2.0,5920762,,220.0,Female,Female
498,2.0,5920762,,221.0,Female,Female
499,2.0,5920762,,222.0,Female,Female
500,2.0,5920762,,223.0,Female,Female
501,2.0,5920762,,224.0,Female,Female
502,2.0,5920762,,225.0,Female,Female
503,2.0,5920762,,226.0,Female,Female
504,2.0,5920762,,227.0,Male,Male
505,2.0,5920762,,228.0,Male,Male
506,2.0,5920762,,229.0,Male,Male
507,2.0,5920762,,230.0,Male,Male
508,2.0,5920762,,231.0,Female,Female
509,2.0,5920762,,232.0,Male,Male
510,2.0,5920762,,233.0,Male,Male
511,2.0,5920762,,234.0,Male,Male
512,2.0,5920762,,235.0,Male,Male
513,2.0,5920762,,236.0,Male,Male
514,2.0,5920762,,237.0,Male,Male
515,2.0,5920762,,238.0,Male,Male
516,2.0,5920762,,239.0,Male,Male
517,2.0,5920762,,240.0,Male,Male
518,2.0,5920762,,241.0,Male,Male
519,2.0,5920762,,242.0,Female,Female
520,2.0,5920762,,243.0,Male,Male
521,2.0,5920762,,244.0,Male,Male
522,2.0,5920762,,245.0,Male,Male
523,2.0,5920762,,246.0,Female,Female
524,2.0,5920762,,247.0,Female,Female
525,2.0,5920762,,248.0,Female,Female
526,2.0,5920762,,249.0,Male,Male
527,2.0,5920762,,250.0,Female,Female
528,2.0,5920762,,251.0,Male,Male
529,2.0,5920762,,252.0,Female,Female
530,2.0,5920762,,253.0,Male,Male
531,2.0,5920762,,254.0,Male,Male
532,2.0,5920762,,255.0,Male,Male
533,2.0,5920762,,256.0,Female,Female
534,2.0,5920762,,257.0,Male,Male
535,2.0,5920762,,258.0,Male,Male
536,2.0,5920762,,259.0,Female,Female
537,2.0,5920762,,260.0,Male,Male
538,2.0,5920762,,261.0,Male,Male
539,2.0,5920762,,262.0,Female,Female
540,2.0,5920762,,263.0,Female,Female
541,2.0,5920762,,264.0,Male,Male
542,2.0,5920762,,265.0,Male,Male
543,2.0,5920762,,266.0,Female,Female
544,2.0,5920762,,267.0,Male,Male
545,2.0,5920762,,268.0,Male,Male
546,2.0,5920762,,269.0,Male,Male
547,2.0,5920762,,270.0,Male,Male
548,2.0,5920762,,271.0,Female,Female
549,2.0,5920762,,272.0,Male,Male
550,2.0,5920762,,273.0,Female,Female
551,2.0,5920762,,274.0,Male,Male
552,2.0,5920762,,275.0,Male,Male
553,2.0,5920762,,276.0,Female,Female
554,2.0,5920762,,277.0,Male,Male
555,2.0,5920762,,278.0,Female,Female
556,3.0,2503639,,1.0,Female,Female
557,3.0,2503639,,2.0,Female,Female
558,3.0,2503639,,3.0,Male,Male
559,3.0,2503639,,4.0,Female,Female
560,3.0,2503639,,5.0,Female,Female
561,3.0,2503639,,6.0,Male,Male
562,3.0,2503639,,7.0,Female,Female
563,3.0,2503639,,8.0,Male,Male
564,3.0,2503639,,9.0,Male,Male
565,3.0,2503639,,10.0,Male,Male
566,3.0,2503639,,11.0,Male,Male
567,3.0,2503639,,12.0,Female,Female
568,3.0,2503639,,13.0,Male,Male
569,3.0,2503639,,14.0,Male,Male
570,3.0,2503639,,15.0,Female,Female
571,3.0,2503639,,16.0,Female,Female
572,3.0,2503639,,17.0,Female,Female
573,3.0,2503639,,18.0,Female,Female
574,3.0,2503639,,19.0,Female,Female
575,3.0,2503639,,20.0,Female,Female
576,3.0,2503639,,21.0,Female,Female
577,3.0,2503639,,22.0,Male,Male
578,3.0,2503639,,23.0,Male,Male
579,3.0,2503639,,24.0,Female,Female
580,3.0,2503639,,25.0,Male,Male
581,3.0,2503639,,26.0,Male,Male
582,3.0,2503639,,27.0,Male,Male
583,3.0,2503639,,28.0,Male,Male
584,3.0,2503639,,29.0,Male,Male
585,3.0,2503639,,30.0,Female,Female
586,3.0,2503639,,31.0,Male,Male
587,3.0,2503639,,32.0,Male,Male
588,3.0,2503639,,33.0,Female,Female
589,3.0,2503639,,34.0,Male,Male
590,3.0,2503639,,35.0,Male,Male
591,3.0,2503639,,36.0,Male,Male
592,3.0,2503639,,37.0,Female,Female
593,3.0,2503639,,38.0,Male,Male
594,3.0,2503639,,39.0,Female,Female
595,3.0,2503639,,40.0,Female,Female
596,3.0,2503639,,41.0,Female,Female
597,3.0,2503639,,42.0,Male,Male
598,3.0,2503639,,43.0,Female,Female
599,3.0,2503639,,44.0,Male,Male
600,3.0,2503639,,45.0,Female,Female
601,3.0,2503639,,46.0,Female,Female
602,3.0,2503639,,47.0,Male,Male
603,3.0,2503639,,48.0,Male,Male
604,3.0,2503639,,49.0,Female,Female
605,3.0,2503639,,50.0,Male,Male
606,3.0,2503639,,51.0,Female,Female
607,3.0,2503639,,52.0,Female,Female
608,3.0,2503639,,53.0,Male,Male
609,3.0,2503639,,54.0,Female,Female
610,3.0,2503639,,55.0,Female,Female
611,3.0,2503639,,56.0,Male,Male
612,3.0,2503639,,57.0,Female,Female
613,3.0,2503639,,58.0,Female,Female
614,3.0,2503639,,59.0,Female,Female
615,3.0,2503639,,60.0,Male,Male
616,3.0,2503639,,61.0,Female,Female
617,3.0,2503639,,62.0,Male,Male
618,3.0,2503639,,63.0,Female,Female
619,3.0,2503639,,64.0,Female,Female
620,3.0,2503639,,65.0,Female,Female
621,3.0,2503639,,66.0,Female,Female
622,3.0,2503639,,67.0,Male,Male
623,3.0,2503639,,68.0,Female,Female
624,3.0,2503639,,69.0,Male,Male
625,3.0,2503639,,70.0,Female,Female
626,3.0,2503639,,71.0,Male,Male
627,3.0,2503639,,72.0,Male,Male
628,3.0,2503639,,73.0,Female,Female
629,3.0,2503639,,74.0,Female,Female
630,3.0,2503639,,75.0,Male,Male
631,3.0,2503639,,76.0,Female,Female
632,3.0,2503639,,77.0,Male,Male
633,3.0,2503639,,78.0,Female,Female
634,3.0,2503639,,79.0,Male,Male
635,3.0,2503639,,80.0,Female,Female
636,3.0,2503639,,81.0,Female,Female
637,3.0,2503639,,82.0,Male,Male
638,3.0,2503639,,83.0,Female,Female
639,3.0,2503639,,84.0,Female,Female
640,3.0,2503639,,85.0,Female,Female
641,3.0,2503639,,86.0,Female,Female
642,3.0,2503639,,87.0,Female,Female
643,3.0,2503639,,88.0,Male,Male
644,3.0,2503639,,89.0,Male,Male
645,3.0,2503639,,90.0,Female,Female
646,3.0,2503639,,91.0,Female,Female
647,3.0,2503639,,92.0,Male,Male
648,3.0,2503639,,93.0,Female,Female
649,3.0,2503639,,94.0,Male,Male
650,3.0,2503639,,95.0,Female,Female
651,3.0,2503639,,96.0,Female,Female
652,3.0,2503639,,97.0,Male,Male
653,3.0,2503639,,98.0,Male,Male
654,3.0,2503639,,99.0,Male,Male
655,3.0,2503639,,100.0,Female,Female
656,3.0,2503639,,101.0,Female,Female
657,3.0,2503639,,102.0,Female,Female
658,3.0,2503639,,103.0,Male,Male
659,3.0,2503639,,104.0,Male,Male
660,3.0,2503639,,105.0,Male,Male
